	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RAMP3	0	2.664067673026	0.747	0.023	0	Endothelial cells	RAMP3
RAMP2	0	2.66284881161251	0.805	0.033	0	Endothelial cells	RAMP2
APOLD1	0	2.62569548600533	0.797	0.103	0	Endothelial cells	APOLD1
FLT1	0	2.62491616343498	0.819	0.035	0	Endothelial cells	FLT1
CD36	0	2.55553103583772	0.614	0.197	0	Endothelial cells	CD36
IFI27	0	2.51763942462486	0.967	0.409	0	Endothelial cells	IFI27
ID3	0	2.4156399564533	0.729	0.183	0	Endothelial cells	ID3
ID1	0	2.39155737331562	0.65	0.135	0	Endothelial cells	ID1
PLPP1	0	2.38613656075073	0.725	0.249	0	Endothelial cells	PLPP1
APP	0	2.36643885846752	0.918	0.301	0	Endothelial cells	APP
RBP7	0	2.3178145864025	0.426	0.073	0	Endothelial cells	RBP7
TGFBR2	0	2.30729733070785	0.841	0.212	0	Endothelial cells	TGFBR2
CLEC1B	0	2.30502976480318	0.317	0.017	0	Endothelial cells	CLEC1B
PECAM1	0	2.30022246582588	0.837	0.244	0	Endothelial cells	PECAM1
SPRY1	0	2.25023953430031	0.599	0.065	0	Endothelial cells	SPRY1
TIMP3	0	2.24923853262859	0.797	0.122	0	Endothelial cells	TIMP3
LYVE1	0	2.24693847510955	0.472	0.056	0	Endothelial cells	LYVE1
IL33	0	2.2267086436546	0.598	0.033	0	Endothelial cells	IL33
CLEC14A	0	2.22658888165318	0.761	0.016	0	Endothelial cells	CLEC14A
HES1	0	2.22326683506972	0.796	0.358	0	Endothelial cells	HES1
MGP	0	2.15049287276499	0.437	0.076	0	Endothelial cells	MGP
ESAM	0	2.14328205991582	0.784	0.048	0	Endothelial cells	ESAM
PLPP3	0	2.10485963858868	0.757	0.139	0	Endothelial cells	PLPP3
PRCP	0	2.10214272012023	0.781	0.321	0	Endothelial cells	PRCP
TM4SF18	0	2.08722858033697	0.714	0.013	0	Endothelial cells	TM4SF18
CD34	0	2.0300844119554	0.645	0.014	0	Endothelial cells	CD34
CALCRL	0	2.0078868926698	0.74	0.065	0	Endothelial cells	CALCRL
VWF	0	1.96498949341887	0.473	0.023	0	Endothelial cells	VWF
ADGRL4	0	1.9610348333825	0.755	0.014	0	Endothelial cells	ADGRL4
CNN3	0	1.94948371946238	0.84	0.249	0	Endothelial cells	CNN3
COL4A2	0	1.94208687362336	0.715	0.066	0	Endothelial cells	COL4A2
LDB2	0	1.91401229087346	0.756	0.025	0	Endothelial cells	LDB2
HSPG2	0	1.90598488866852	0.687	0.035	0	Endothelial cells	HSPG2
EMP1	0	1.90555918666621	0.65	0.046	0	Endothelial cells	EMP1
CDH5	0	1.90434332044811	0.746	0.031	0	Endothelial cells	CDH5
TSPAN7	0	1.8806271135124	0.68	0.034	0	Endothelial cells	TSPAN7
CRIP2	0	1.87857957381943	0.76	0.165	0	Endothelial cells	CRIP2
STC1	0	1.87487943471597	0.391	0.014	0	Endothelial cells	STC1
EPAS1	0	1.87159024439942	0.81	0.211	0	Endothelial cells	EPAS1
KDR	0	1.86086157574099	0.717	0.016	0	Endothelial cells	KDR
EGFL7	0	1.85795558171835	0.752	0.078	0	Endothelial cells	EGFL7
EMCN	0	1.83007531625068	0.686	0.013	0	Endothelial cells	EMCN
ARHGAP29	0	1.80317859444104	0.776	0.132	0	Endothelial cells	ARHGAP29
ICAM2	0	1.79079726040329	0.707	0.163	0	Endothelial cells	ICAM2
RGCC	0	1.78916060798021	0.448	0.137	0	Endothelial cells	RGCC
NOSTRIN	0	1.76046285378894	0.665	0.023	0	Endothelial cells	NOSTRIN
TSC22D1	0	1.75878034601116	0.752	0.301	0	Endothelial cells	TSC22D1
CLEC4G	0	1.75305675346286	0.301	0.022	0	Endothelial cells	CLEC4G
PTPRB	0	1.74701245248132	0.653	0.019	0	Endothelial cells	PTPRB
DDIT41	0	1.71781785566649	0.779	0.38	0	Endothelial cells	DDIT4
FKBP1A	0	1.6991594975085	0.864	0.451	0	Endothelial cells	FKBP1A
ADGRF5	0	1.69248542653019	0.723	0.035	0	Endothelial cells	ADGRF5
S100A16	0	1.69203636448649	0.815	0.249	0	Endothelial cells	S100A16
SEC14L1	0	1.68727303717559	0.781	0.247	0	Endothelial cells	SEC14L1
IL6ST	0	1.678829516476	0.844	0.422	0	Endothelial cells	IL6ST
S1PR1	0	1.67443003798229	0.657	0.033	0	Endothelial cells	S1PR1
PLK2	0	1.64614228852948	0.631	0.1	0	Endothelial cells	PLK2
CD59	0	1.64174286708294	0.831	0.394	0	Endothelial cells	CD59
TCF4	0	1.61151390172062	0.737	0.181	0	Endothelial cells	TCF4
FAM167B	0	1.60444758338768	0.519	0.011	0	Endothelial cells	FAM167B
EFNB2	0	1.59599018921664	0.551	0.013	0	Endothelial cells	EFNB2
SLC9A3R2	0	1.58515502452082	0.686	0.219	0	Endothelial cells	SLC9A3R2
CAV1	0	1.58357330154939	0.769	0.188	0	Endothelial cells	CAV1
GIMAP7	0	1.58315873229016	0.723	0.209	0	Endothelial cells	GIMAP7
STOM	0	1.57752270801287	0.853	0.38	0	Endothelial cells	STOM
CD9	0	1.57441893261961	0.819	0.33	0	Endothelial cells	CD9
NRP1	0	1.53679156336966	0.756	0.207	0	Endothelial cells	NRP1
PRSS23	0	1.53231558712563	0.542	0.05	0	Endothelial cells	PRSS23
VAMP5	0	1.52508723162169	0.915	0.526	0	Endothelial cells	VAMP5
ECSCR	0	1.47334036852972	0.591	0.011	0	Endothelial cells	ECSCR
NEDD9	0	1.45510180298609	0.675	0.176	0	Endothelial cells	NEDD9
HLA-E1	0	1.44826494611188	0.98	0.792	0	Endothelial cells	HLA-E
IGFBP4	0	1.44719596367838	0.821	0.323	0	Endothelial cells	IGFBP4
TPM4	0	1.44412501964342	0.884	0.456	0	Endothelial cells	TPM4
CD93	0	1.44073080794476	0.624	0.104	0	Endothelial cells	CD93
ESM1	0	1.43894918382208	0.258	0.009	0	Endothelial cells	ESM1
ETS1	0	1.43680713492824	0.736	0.137	0	Endothelial cells	ETS1
CALM1	0	1.42641347119706	0.976	0.811	0	Endothelial cells	CALM1
F2R	0	1.42234476166308	0.627	0.046	0	Endothelial cells	F2R
CCND1	0	1.40742737688313	0.592	0.138	0	Endothelial cells	CCND1
ELK3	0	1.40187903400437	0.672	0.076	0	Endothelial cells	ELK3
PDLIM1	0	1.40002376194293	0.754	0.279	0	Endothelial cells	PDLIM1
ITGA6	0	1.39025826581412	0.536	0.068	0	Endothelial cells	ITGA6
PCAT19	0	1.38880190374548	0.643	0.042	0	Endothelial cells	PCAT19
TFPI2	0	1.38679030165571	0.37	0.012	0	Endothelial cells	TFPI2
CAVIN1	0	1.36289940344379	0.618	0.05	0	Endothelial cells	CAVIN1
ITPRIP	0	1.35113798330383	0.575	0.042	0	Endothelial cells	ITPRIP
MARCKSL1	0	1.35064592650231	0.671	0.159	0	Endothelial cells	MARCKSL1
IFITM2	0	1.34034537233075	0.979	0.835	0	Endothelial cells	IFITM2
CYYR1	0	1.3393381207037	0.597	0.011	0	Endothelial cells	CYYR1
SELENOW	0	1.33467134258416	0.789	0.438	0	Endothelial cells	SELENOW
RHOC	0	1.33065131401316	0.821	0.413	0	Endothelial cells	RHOC
RNASE11	0	1.32851604590281	0.819	0.17	0	Endothelial cells	RNASE1
SH3BP5	0	1.31849529806846	0.671	0.188	0	Endothelial cells	SH3BP5
F8	0	1.31148887394831	0.541	0.045	0	Endothelial cells	F8
NPDC1	0	1.30086883957785	0.584	0.023	0	Endothelial cells	NPDC1
CDC42EP3	0	1.29795330840941	0.544	0.096	0	Endothelial cells	CDC42EP3
SLCO2A1	0	1.28829842920987	0.352	0.008	0	Endothelial cells	SLCO2A1
NRP2	0	1.28696685686895	0.579	0.111	0	Endothelial cells	NRP2
SERPINH1	0	1.27685398244373	0.679	0.127	0	Endothelial cells	SERPINH1
LAMA4	0	1.26334377193145	0.531	0.07	0	Endothelial cells	LAMA4
TP53I11	0	1.24934631546455	0.531	0.05	0	Endothelial cells	TP53I11
PCDH17	0	1.24840454880727	0.499	0.01	0	Endothelial cells	PCDH17
MMRN2	0	1.24572848439605	0.531	0.012	0	Endothelial cells	MMRN2
C11orf96	0	1.24447176973496	0.411	0.059	0	Endothelial cells	C11orf96
RDX	0	1.23790692383534	0.821	0.423	0	Endothelial cells	RDX
AQP1	0	1.23383379935423	0.354	0.01	0	Endothelial cells	AQP1
MYCT1	0	1.22901224993998	0.563	0.007	0	Endothelial cells	MYCT1
TINAGL1	0	1.2281671948158	0.579	0.043	0	Endothelial cells	TINAGL1
TACC1	0	1.21623218572738	0.68	0.259	0	Endothelial cells	TACC1
ROBO4	0	1.21385277452089	0.55	0.01	0	Endothelial cells	ROBO4
APLNR	0	1.2088301454397	0.474	0.012	0	Endothelial cells	APLNR
ANXA21	0	1.20211948314548	0.97	0.695	0	Endothelial cells	ANXA2
THY1	0	1.18733061622958	0.479	0.03	0	Endothelial cells	THY1
GBP4	0	1.18498515309141	0.631	0.2	0	Endothelial cells	GBP4
SOX18	0	1.18361856335823	0.438	0.008	0	Endothelial cells	SOX18
NID1	0	1.18285276326754	0.613	0.176	0	Endothelial cells	NID1
LIFR	0	1.18169317245791	0.376	0.031	0	Endothelial cells	LIFR
FAM198B	0	1.17765408882623	0.586	0.089	0	Endothelial cells	FAM198B
FXYD6	0	1.17631240923408	0.585	0.072	0	Endothelial cells	FXYD6
TGM2	0	1.17489544255627	0.555	0.073	0	Endothelial cells	TGM2
EDNRB	0	1.17334856039272	0.434	0.047	0	Endothelial cells	EDNRB
MTUS1	0	1.15867202014892	0.536	0.141	0	Endothelial cells	MTUS1
IFITM31	0	1.15108800219778	1	0.936	0	Endothelial cells	IFITM3
ITGB1	0	1.14384561473349	0.845	0.513	0	Endothelial cells	ITGB1
CDH13	0	1.14101208221879	0.492	0.015	0	Endothelial cells	CDH13
SPTBN11	0	1.12136879793631	0.795	0.364	0	Endothelial cells	SPTBN1
TFF3	0	1.11997820403285	0.269	0.007	0	Endothelial cells	TFF3
WWTR1	0	1.11805733351453	0.584	0.072	0	Endothelial cells	WWTR1
BEX3	0	1.10030269025747	0.798	0.342	0	Endothelial cells	BEX3
STAB11	0	1.09663817077337	0.48	0.134	0	Endothelial cells	STAB1
GIMAP41	0	1.08517591016537	0.699	0.296	0	Endothelial cells	GIMAP4
SNRK	0	1.08418555898194	0.562	0.089	0	Endothelial cells	SNRK
PPFIBP1	0	1.08175325655722	0.559	0.086	0	Endothelial cells	PPFIBP1
A2M1	0	1.07785916234783	0.989	0.763	0	Endothelial cells	A2M
CLIC4	0	1.07478899608822	0.667	0.233	0	Endothelial cells	CLIC4
CCDC85B	0	1.06715540403688	0.593	0.167	0	Endothelial cells	CCDC85B
CD99	0	1.05648321303394	0.904	0.664	0	Endothelial cells	CD99
VWA1	0	1.0540432773165	0.392	0.066	0	Endothelial cells	VWA1
CXorf36	0	1.04629543960851	0.458	0.006	0	Endothelial cells	CXorf36
GSN	0	1.04576628399059	0.76	0.415	0	Endothelial cells	GSN
DUSP6	0	1.04365133857801	0.593	0.192	0	Endothelial cells	DUSP6
LIMCH1	0	1.04249183770141	0.525	0.054	0	Endothelial cells	LIMCH1
FSCN1	0	1.04064161217545	0.517	0.076	0	Endothelial cells	FSCN1
LPAR61	0	1.03128368232777	0.666	0.268	0	Endothelial cells	LPAR6
DDX51	0	1.02830050409784	0.966	0.87	0	Endothelial cells	DDX5
PODXL	0	1.02555740162801	0.418	0.01	0	Endothelial cells	PODXL
GYPC1	0	1.02481686867823	0.635	0.248	0	Endothelial cells	GYPC
STAB2	0	0.998798336434893	0.279	0.011	0	Endothelial cells	STAB2
PTTG1IP	0	0.998623253137019	0.748	0.418	0	Endothelial cells	PTTG1IP
ADAMTS4	0	0.996942550731203	0.368	0.03	0	Endothelial cells	ADAMTS4
FCN2	0	0.996501757974735	0.264	0.028	0	Endothelial cells	FCN2
MCAM	0	0.993845775968436	0.492	0.053	0	Endothelial cells	MCAM
LIMA1	0	0.991650651404415	0.598	0.181	0	Endothelial cells	LIMA1
TCEAL9	0	0.978703391078114	0.573	0.175	0	Endothelial cells	TCEAL9
GJA1	0	0.968995320770501	0.312	0.006	0	Endothelial cells	GJA1
BMPR2	0	0.968023544057763	0.543	0.122	0	Endothelial cells	BMPR2
NOTCH4	0	0.951956162953535	0.46	0.019	0	Endothelial cells	NOTCH4
SLC2A3	0	0.948634835696905	0.489	0.135	0	Endothelial cells	SLC2A3
RAPGEF5	0	0.940999169028935	0.477	0.046	0	Endothelial cells	RAPGEF5
SERPINB61	0	0.939899879138607	0.651	0.33	0	Endothelial cells	SERPINB6
F2RL3	0	0.937698894444444	0.331	0.006	0	Endothelial cells	F2RL3
LMO2	0	0.935168937043734	0.467	0.092	0	Endothelial cells	LMO2
UACA	0	0.933197594028944	0.52	0.152	0	Endothelial cells	UACA
MEF2C1	0	0.928643123711772	0.672	0.273	0	Endothelial cells	MEF2C
UPP11	0	0.92799120321533	0.549	0.22	0	Endothelial cells	UPP1
HEG1	0	0.924841651232911	0.393	0.04	0	Endothelial cells	HEG1
CD320	0	0.924554672475242	0.452	0.108	0	Endothelial cells	CD320
TMEM204	0	0.921179138220221	0.44	0.018	0	Endothelial cells	TMEM204
NFIB	0	0.917098452129305	0.576	0.193	0	Endothelial cells	NFIB
JAM2	0	0.916685885116874	0.341	0.007	0	Endothelial cells	JAM2
GJA4	0	0.916632138659375	0.288	0.036	0	Endothelial cells	GJA4
UTRN	0	0.916290595609725	0.564	0.233	0	Endothelial cells	UTRN
ITM2A	0	0.898435260361722	0.457	0.07	0	Endothelial cells	ITM2A
COL15A1	0	0.892171642800071	0.252	0.008	0	Endothelial cells	COL15A1
PLXND1	0	0.883702180733627	0.507	0.114	0	Endothelial cells	PLXND1
TIE1	0	0.880821697320128	0.456	0.009	0	Endothelial cells	TIE1
SYNE2	0	0.86891952192	0.595	0.191	0	Endothelial cells	SYNE2
PHACTR2	0	0.864295059847145	0.533	0.168	0	Endothelial cells	PHACTR2
PRMT1	0	0.858410614170864	0.603	0.268	0	Endothelial cells	PRMT1
PTPRM	0	0.857671259662819	0.373	0.034	0	Endothelial cells	PTPRM
MYL12A	0	0.855615457283645	0.964	0.834	0	Endothelial cells	MYL12A
CDC37	0	0.852767387788826	0.735	0.415	0	Endothelial cells	CDC37
WARS1	0	0.852269236410464	0.578	0.227	0	Endothelial cells	WARS
SEPT2	0	0.848249761281965	0.745	0.424	0	Endothelial cells	SEPT2
CTTNBP2NL1	0	0.847949726236525	0.508	0.158	0	Endothelial cells	CTTNBP2NL
ARL15	0	0.838490315791768	0.356	0.048	0	Endothelial cells	ARL15
YBX31	0	0.835000917116773	0.548	0.195	0	Endothelial cells	YBX3
TEK	0	0.832394539526279	0.397	0.006	0	Endothelial cells	TEK
CRIM1	0	0.823208945737243	0.404	0.048	0	Endothelial cells	CRIM1
SELENOM	0	0.820969650695674	0.478	0.117	0	Endothelial cells	SELENOM
ADAM15	0	0.820904398389944	0.437	0.116	0	Endothelial cells	ADAM15
ARL4A	0	0.818947438019978	0.559	0.226	0	Endothelial cells	ARL4A
AFAP1L1	0	0.818783140083001	0.416	0.014	0	Endothelial cells	AFAP1L1
NES	0	0.817568648758762	0.347	0.016	0	Endothelial cells	NES
SLC44A2	0	0.815485939606411	0.474	0.058	0	Endothelial cells	SLC44A2
ECE1	0	0.815086931794551	0.487	0.119	0	Endothelial cells	ECE1
PXDN	0	0.81064459714357	0.376	0.018	0	Endothelial cells	PXDN
ACKR3	0	0.807339110962668	0.29	0.027	0	Endothelial cells	ACKR3
DUSP5	0	0.803953937649179	0.376	0.071	0	Endothelial cells	DUSP5
CTNNA1	0	0.795738065881189	0.665	0.351	0	Endothelial cells	CTNNA1
INSR	0	0.793941882493898	0.461	0.16	0	Endothelial cells	INSR
ITM2B1	0	0.791503194342193	0.989	0.903	0	Endothelial cells	ITM2B
ITGA5	0	0.790765998335121	0.465	0.088	0	Endothelial cells	ITGA5
MRPL17	0	0.789700907651459	0.499	0.172	0	Endothelial cells	MRPL17
RPS6	0	0.784948938311272	0.999	0.986	0	Endothelial cells	RPS6
RALB	0	0.781945596828731	0.536	0.215	0	Endothelial cells	RALB
RBMS1	0	0.775598054425677	0.568	0.207	0	Endothelial cells	RBMS1
MYL12B	0	0.773470376220144	0.988	0.916	0	Endothelial cells	MYL12B
TMCC3	0	0.768605538997453	0.413	0.058	0	Endothelial cells	TMCC3
PEA151	0	0.766955237927816	0.624	0.29	0	Endothelial cells	PEA15
HPCAL1	0	0.76449231510591	0.485	0.137	0	Endothelial cells	HPCAL1
LAMB1	0	0.76434113174269	0.365	0.027	0	Endothelial cells	LAMB1
SOCS2	0	0.761841924526525	0.427	0.094	0	Endothelial cells	SOCS2
FEZ1	0	0.759615807926988	0.356	0.058	0	Endothelial cells	FEZ1
PDE2A	0	0.752308574022305	0.367	0.013	0	Endothelial cells	PDE2A
ARL2	0	0.751215308208774	0.521	0.187	0	Endothelial cells	ARL2
HECW2	0	0.74672768214544	0.36	0.008	0	Endothelial cells	HECW2
EHD3	0	0.746437980647597	0.271	0.016	0	Endothelial cells	EHD3
FILIP1	0	0.745408008006766	0.395	0.044	0	Endothelial cells	FILIP1
MYL6	0	0.74516649195097	0.999	0.986	0	Endothelial cells	MYL6
ZEB1	0	0.743979448963139	0.458	0.118	0	Endothelial cells	ZEB1
FERMT2	0	0.743749066384861	0.541	0.187	0	Endothelial cells	FERMT2
AP002004.1	0	0.74347240234203	0.261	0.026	0	Endothelial cells	AP002004.1
MYO10	0	0.742127499101229	0.378	0.014	0	Endothelial cells	MYO10
TIMP21	0	0.73819576994935	0.561	0.206	0	Endothelial cells	TIMP2
NID2	0	0.738048843929856	0.278	0.016	0	Endothelial cells	NID2
PIEZO2	0	0.736840050154913	0.4	0.084	0	Endothelial cells	PIEZO2
PPP1R14A	0	0.733953215573851	0.421	0.069	0	Endothelial cells	PPP1R14A
DYSF	0	0.729965752194937	0.394	0.058	0	Endothelial cells	DYSF
TMEM88	0	0.728189155845935	0.328	0.008	0	Endothelial cells	TMEM88
RFLNB	0	0.725488219728072	0.359	0.019	0	Endothelial cells	RFLNB
HLA-C1	0	0.724903898569683	0.998	0.894	0	Endothelial cells	HLA-C
TGFBR3	0	0.720565537308848	0.395	0.082	0	Endothelial cells	TGFBR3
TMEM255B	0	0.715931745492597	0.366	0.016	0	Endothelial cells	TMEM255B
PLEKHG1	0	0.712274284604831	0.377	0.021	0	Endothelial cells	PLEKHG1
IL3RA	0	0.707500036702285	0.361	0.02	0	Endothelial cells	IL3RA
NQO1	0	0.70338043945654	0.347	0.046	0	Endothelial cells	NQO1
HTRA1	0	0.701506565285728	0.429	0.115	0	Endothelial cells	HTRA1
NPR1	0	0.694980574898196	0.349	0.005	0	Endothelial cells	NPR1
PIK3C2A	0	0.692152036331134	0.495	0.174	0	Endothelial cells	PIK3C2A
FSTL1	0	0.691174112660661	0.375	0.037	0	Endothelial cells	FSTL1
SEMA6A	0	0.686434719055475	0.32	0.005	0	Endothelial cells	SEMA6A
COL21A1	0	0.683385849618623	0.273	0.008	0	Endothelial cells	COL21A1
DLL4	0	0.682374101078678	0.282	0.005	0	Endothelial cells	DLL4
GRB10	0	0.681624821699359	0.384	0.068	0	Endothelial cells	GRB10
TCN2	0	0.680512181893708	0.429	0.111	0	Endothelial cells	TCN2
BTNL9	0	0.680185169617097	0.316	0.009	0	Endothelial cells	BTNL9
KIAA0355	0	0.679768592774552	0.389	0.064	0	Endothelial cells	KIAA0355
SMAD6	0	0.677137363375348	0.29	0.015	0	Endothelial cells	SMAD6
CPNE2	0	0.67707344930542	0.392	0.052	0	Endothelial cells	CPNE2
FZD4	0	0.676462148722524	0.366	0.031	0	Endothelial cells	FZD4
ASAP1	0	0.675236567302233	0.474	0.163	0	Endothelial cells	ASAP1
COX7A1	0	0.672411423637007	0.359	0.037	0	Endothelial cells	COX7A1
RASIP1	0	0.66668343798458	0.346	0.009	0	Endothelial cells	RASIP1
SEPT10	0	0.658822033777861	0.525	0.201	0	Endothelial cells	SEPT10
TSPAN14	0	0.658423971722511	0.451	0.135	0	Endothelial cells	TSPAN14
SMTN	0	0.657429792437795	0.37	0.043	0	Endothelial cells	SMTN
SOCS3	0	0.65640550281491	0.362	0.098	0	Endothelial cells	SOCS3
SHANK3	0	0.655950030192684	0.356	0.02	0	Endothelial cells	SHANK3
EXOC3L2	0	0.65455331504322	0.318	0.003	0	Endothelial cells	EXOC3L2
LRRC32	0	0.65033314094452	0.304	0.021	0	Endothelial cells	LRRC32
PAM	0	0.650106982811288	0.399	0.044	0	Endothelial cells	PAM
YES1	0	0.649021939560068	0.511	0.181	0	Endothelial cells	YES1
THBD	0	0.629807010363516	0.282	0.049	0	Endothelial cells	THBD
ERG	0	0.627071937154044	0.339	0.005	0	Endothelial cells	ERG
CETP	0	0.625682828754058	0.384	0.072	0	Endothelial cells	CETP
PTPRG	0	0.624757155959689	0.354	0.048	0	Endothelial cells	PTPRG
NTN4	0	0.622022443300037	0.294	0.028	0	Endothelial cells	NTN4
LIMS2	0	0.620581993411108	0.359	0.051	0	Endothelial cells	LIMS2
TSPAN18	0	0.619919000417536	0.32	0.005	0	Endothelial cells	TSPAN18
GIMAP8	0	0.613029015224696	0.387	0.074	0	Endothelial cells	GIMAP8
SASH1	0	0.611535213210301	0.396	0.104	0	Endothelial cells	SASH1
EVA1B	0	0.607594418507898	0.409	0.116	0	Endothelial cells	EVA1B
ADGRG1	0	0.598248552342985	0.314	0.034	0	Endothelial cells	ADGRG1
TJP1	0	0.591883799391604	0.483	0.167	0	Endothelial cells	TJP1
MYO6	0	0.591280113970233	0.397	0.09	0	Endothelial cells	MYO6
PIK3R3	0	0.587392256537574	0.318	0.025	0	Endothelial cells	PIK3R3
IPO11	0	0.584073947717219	0.339	0.04	0	Endothelial cells	IPO11
RBPMS	0	0.583986172250163	0.41	0.113	0	Endothelial cells	RBPMS
ODF2L	0	0.576058915231274	0.366	0.076	0	Endothelial cells	ODF2L
PCDH12	0	0.571207562517312	0.286	0.005	0	Endothelial cells	PCDH12
SELENON	0	0.56809190741421	0.331	0.058	0	Endothelial cells	SELENON
ADGRL2	0	0.564434437722203	0.345	0.07	0	Endothelial cells	ADGRL2
RASGRP3	0	0.562951104890047	0.362	0.066	0	Endothelial cells	RASGRP3
BCAM	0	0.562358244715804	0.341	0.082	0	Endothelial cells	BCAM
SLFN5	0	0.561349310522384	0.363	0.099	0	Endothelial cells	SLFN5
DLC1	0	0.559635323812567	0.325	0.051	0	Endothelial cells	DLC1
CDK17	0	0.558588206542657	0.388	0.084	0	Endothelial cells	CDK17
FHL1	0	0.552320903084999	0.33	0.059	0	Endothelial cells	FHL1
SNCG	0	0.549893488416256	0.302	0.033	0	Endothelial cells	SNCG
TNFAIP1	0	0.543798058807071	0.376	0.091	0	Endothelial cells	TNFAIP1
JCAD	0	0.535657071323161	0.282	0.012	0	Endothelial cells	JCAD
SPRY4	0	0.535372266007939	0.261	0.012	0	Endothelial cells	SPRY4
SGCB	0	0.532505931829737	0.395	0.1	0	Endothelial cells	SGCB
TUBB6	0	0.526318193678483	0.288	0.039	0	Endothelial cells	TUBB6
FGFR1	0	0.518699874764632	0.293	0.021	0	Endothelial cells	FGFR1
VGLL4	0	0.518614943964396	0.355	0.081	0	Endothelial cells	VGLL4
KANK3	0	0.517436701448529	0.28	0.015	0	Endothelial cells	KANK3
LOXL2	0	0.515638593412756	0.275	0.013	0	Endothelial cells	LOXL2
RBP1	0	0.512283799595097	0.303	0.048	0	Endothelial cells	RBP1
MAP1B	0	0.506966125002678	0.315	0.038	0	Endothelial cells	MAP1B
PXN	0	0.500978124922685	0.333	0.079	0	Endothelial cells	PXN
SHE	0	0.498145605450274	0.292	0.03	0	Endothelial cells	SHE
MYH10	0	0.496668546279229	0.304	0.055	0	Endothelial cells	MYH10
MID1	0	0.494705096370361	0.289	0.028	0	Endothelial cells	MID1
TSPAN9	0	0.491144609746478	0.333	0.072	0	Endothelial cells	TSPAN9
PREX2	0	0.486952681401202	0.251	0.004	0	Endothelial cells	PREX2
EFNB1	0	0.478227987088571	0.264	0.038	0	Endothelial cells	EFNB1
DOCK9	0	0.473424325597517	0.252	0.025	0	Endothelial cells	DOCK9
RHOJ	0	0.469685442620436	0.258	0.005	0	Endothelial cells	RHOJ
PCGF2	0	0.450659024884533	0.28	0.032	0	Endothelial cells	PCGF2
EPB41L4A	0	0.446681990593582	0.269	0.041	0	Endothelial cells	EPB41L4A
SCARF1	0	0.435151543301247	0.272	0.033	0	Endothelial cells	SCARF1
PRKCH	0	0.434373502677344	0.288	0.053	0	Endothelial cells	PRKCH
EPHB4	0	0.42783513340466	0.276	0.039	0	Endothelial cells	EPHB4
FKBP9	0	0.427268132994955	0.316	0.073	0	Endothelial cells	FKBP9
COL6A2	0	0.426587152761322	0.256	0.036	0	Endothelial cells	COL6A2
HDGFL3	0	0.414368335041389	0.251	0.028	0	Endothelial cells	HDGFL3
MMP14	0	0.412896309087694	0.304	0.068	0	Endothelial cells	MMP14
GIMAP6	0	0.390258725801041	0.269	0.054	0	Endothelial cells	GIMAP6
MANSC1	0	0.367431909527369	0.259	0.05	0	Endothelial cells	MANSC1
NCOA7	8.53774964500396e-308	0.782656334310212	0.528	0.214	2.22758425987798e-303	Endothelial cells	NCOA7
RAB11A	1.95733071077688e-305	0.856802711977568	0.722	0.422	5.10687155748796e-301	Endothelial cells	RAB11A
EHD4	2.14012851988307e-305	0.591697119926769	0.416	0.132	5.58380932122693e-301	Endothelial cells	EHD4
CD79B	1.25353427302703e-302	0.475631473881355	0.272	0.056	3.27059627175483e-298	Endothelial cells	CD79B
TMEM173	1.72962374108602e-302	0.528081106119867	0.373	0.105	4.51276130286752e-298	Endothelial cells	TMEM173
ST3GAL4	4.03860935718539e-298	0.415363881638861	0.258	0.052	1.05371356738324e-293	Endothelial cells	ST3GAL4
LUZP1	2.92520287232829e-296	0.444756448222615	0.306	0.073	7.63214681419174e-292	Endothelial cells	LUZP1
MYO1C	3.53199222059782e-295	0.509182664011031	0.344	0.093	9.21532090276178e-291	Endothelial cells	MYO1C
JAK1	2.01608245772306e-294	0.980696150475294	0.799	0.559	5.26016074044523e-290	Endothelial cells	JAK1
BST2	2.99368596747355e-291	1.03867305283324	0.789	0.548	7.81082605773524e-287	Endothelial cells	BST2
APBB2	9.32687491057808e-290	0.411315129738123	0.293	0.069	2.43347493291893e-285	Endothelial cells	APBB2
CDC42EP1	9.16590103939073e-289	0.542072977211937	0.4	0.127	2.39147524018744e-284	Endothelial cells	CDC42EP1
NCKAP1	3.08898762951276e-287	0.55282618128649	0.398	0.126	8.05947762416173e-283	Endothelial cells	NCKAP1
CALU	4.52642066294459e-287	0.785141475872535	0.626	0.32	1.18098841516887e-282	Endothelial cells	CALU
LTC4S	2.09105878252115e-286	0.777830477530717	0.325	0.086	5.45578146947592e-282	Endothelial cells	LTC4S
JUP	7.14411147972762e-281	0.557572280154436	0.371	0.113	1.86397012617573e-276	Endothelial cells	JUP
MAFF	2.26454313465116e-276	0.48126974178803	0.324	0.086	5.90841949261835e-272	Endothelial cells	MAFF
MAP4K4	3.85080133135491e-275	0.623223100056862	0.423	0.148	1.00471257536381e-270	Endothelial cells	MAP4K4
INPP1	6.86926726753897e-275	0.523245485430259	0.384	0.12	1.79226052277359e-270	Endothelial cells	INPP1
SH3GLB1	5.21862252348062e-271	0.767638359371584	0.707	0.417	1.36159080260133e-266	Endothelial cells	SH3GLB1
SNX3	3.56680585059403e-269	0.60977138724522	0.853	0.648	9.30615314478488e-265	Endothelial cells	SNX3
