Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
positive regulation of apoptotic signaling pathway	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0131877089230933	RPS3, CTSH, CTSS, CTSC	269	36	19462	8.038826931020239	0.9999999995722954	0.2255792315792285	0.2182218781800291
negative regulation by host of viral transcription	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0133321585048183	CCL5, CCL4, CCL3	269	13	19462	16.69602516442665	0.9999999996628433	0.2256745580242695	0.218314095516401
positive regulation of interleukin-2 production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0142080110249702	PTPRC, RIPK2, RPS3, CD3E	269	37	19462	7.821561338289962	0.999999999920368	0.2355920195467009	0.2279080952168701
positive regulation of neuron death	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0142080110249702	C1QA, TYROBP, ITGB2, DDIT4	269	37	19462	7.821561338289962	0.999999999920368	0.2355920195467009	0.2279080952168701
positive regulation of interleukin-6 production	GOTERM_BP_DIRECT	6	2.0905923344947737	0.0151031585759082	PYCARD, CD74, TYROBP, RIPK2, CYBA, AIF1	269	105	19462	4.134253850238981	0.9999999999818048	0.2479053806651601	0.2398198513265425
regulation of MAPK cascade	GOTERM_BP_DIRECT	4	1.3937282229965158	0.016379576155787	SLA, GRB2, STK4, PAK2	269	39	19462	7.420455628634067	0.9999999999977882	0.2661681125315402	0.2574869371689731
regulation of actin filament polymerization	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0175311954799063	ARPC1B, COTL1, HCLS1, CORO1A	269	40	19462	7.234944237918215	0.9999999999996704	0.2780756700299207	0.2690061250997141
T cell chemotaxis	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0176257193926657	GPR183, CCL3, CXCL16	269	15	19462	14.46988847583643	0.999999999999718	0.2780756700299207	0.2690061250997141
negative regulation of G-protein coupled receptor protein signaling pathway	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0176257193926657	RGS2, CCL5, PLEK	269	15	19462	14.46988847583643	0.999999999999718	0.2780756700299207	0.2690061250997141
regulation of cell shape	GOTERM_BP_DIRECT	7	2.4390243902439024	0.018339700460221	LST1, ITGB2, RAC2, CCL3, ARHGAP15, CORO1A, CDC42SE2	269	151	19462	3.3539476599620865	0.9999999999999136	0.2865578196909531	0.2772116261871866
regulation of immune response	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0187268862809196	FCGR3A, IRF1, HCST, VSIR	269	41	19462	7.058482183334845	0.9999999999999544	0.2898208591094705	0.2803682403200539
macrophage chemotaxis	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0199628000396482	CCL5, CCL3, RPL13A	269	16	19462	13.565520446096652	0.999999999999994	0.3047502782218356	0.294810730685985
cellular response to lipopolysaccharide	GOTERM_BP_DIRECT	8	2.787456445993032	0.0200666337044531	PYCARD, GBP5, HMGB2, TNFAIP3, CARD16, TNFRSF1B, B2M, LITAF	269	198	19462	2.923209793098269	0.999999999999995	0.3047502782218356	0.294810730685985
actin filament organization	GOTERM_BP_DIRECT	7	2.4390243902439024	0.0205694371163558	TPM3, TMSB4X, RAC2, HCLS1, EVL, TMSB10, CORO1A	269	155	19462	3.267394171963065	0.999999999999998	0.309493845500724	0.2993995846936234
antibacterial humoral response	GOTERM_BP_DIRECT	5	1.7421602787456445	0.0208213684741902	HLA-A, FAU, B2M, RPL39, HLA-E	269	76	19462	4.759831735472511	0.9999999999999986	0.3104103098216433	0.3002861581782297
positive regulation of interferon-beta production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0212508271628104	HSP90AA1, RIPK2, IRF1, HMGB2	269	43	19462	6.73018068643555	0.9999999999999992	0.3111044517078107	0.3009576603598021
response to cold	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0212508271628104	PLAC8, HSP90AA1, UCP2, SOD2	269	43	19462	6.73018068643555	0.9999999999999992	0.3111044517078107	0.3009576603598021
respiratory burst	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0224215861106778	CD52, RAC2, CYBA	269	17	19462	12.767548655149792	1.0	0.3218522322635795	0.3113548979189827
dendritic cell chemotaxis	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0224215861106778	CCL5, GPR183, CXCR4	269	17	19462	12.767548655149792	1.0	0.3218522322635795	0.3113548979189827
T cell proliferation	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0225791719864911	CCND3, PTPRC, RIPK2, CORO1A	269	44	19462	6.577222034471104	1.0	0.3218522322635795	0.3113548979189827
tumor necrosis factor-mediated signaling pathway	GOTERM_BP_DIRECT	5	1.7421602787456445	0.0236246210951753	PYCARD, TMSB4X, TNFRSF1B, PSMB9, BIRC3	269	79	19462	4.579078631593808	1.0	0.3298444277876339	0.3190864249120987
monocyte chemotaxis	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0239517799870404	RPS19, CCL5, CCL4, CCL3	269	45	19462	6.431061544816191	1.0	0.3298444277876339	0.3190864249120987
positive regulation of interleukin-12 production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0239517799870404	RIPK2, IRF1, LAPTM5, LTB	269	45	19462	6.431061544816191	1.0	0.3298444277876339	0.3190864249120987
positive regulation of chemokine production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0239517799870404	PYCARD, CD74, RIPK2, AIF1	269	45	19462	6.431061544816191	1.0	0.3298444277876339	0.3190864249120987
antimicrobial humoral immune response mediated by antimicrobial peptide	GOTERM_BP_DIRECT	6	2.0905923344947737	0.024513000364125	RPL30, RPS19, GNLY, FAU, B2M, RPL39	269	119	19462	3.647871044328512	1.0	0.3347363495101114	0.3238187947260892
negative regulation of interleukin-1 beta production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.025368625785147	SERPINB1, TNFAIP3, CARD16, ARRB2	269	46	19462	6.2912558590593175	1.0	0.3406943545525943	0.3295824771425713
stimulatory C-type lectin receptor signaling pathway	GOTERM_BP_DIRECT	4	1.3937282229965158	0.025368625785147	TYROBP, KLRD1, PAK2, PSMB9	269	46	19462	6.2912558590593175	1.0	0.3406943545525943	0.3295824771425713
antigen processing and presentation of endogenous peptide antigen via MHC class II	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	HLA-DRA, HLA-DRB1	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
negative regulation of natural killer cell cytokine production	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	CD96, HLA-F	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
positive regulation of CD8-positive, alpha-beta T cell activation	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	HLA-A, HLA-E	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
interleukin-7-mediated signaling pathway	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	IL7R, IL2RG	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
antigen processing and presentation of exogenous peptide antigen via MHC class Ib	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	HLA-F, HLA-E	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
positive regulation of macrophage migration inhibitory factor signaling pathway	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0273519220921551	CD74, CXCR4	269	2	19462	72.34944237918215	1.0	0.349975381100411	0.3385607994399052
cellular response to interleukin-1	GOTERM_BP_DIRECT	5	1.7421602787456445	0.0277024520472336	PYCARD, USP10, CCL5, CCL4, CCL3	269	83	19462	4.358400143324226	1.0	0.3516912857558959	0.3402207392050882
negative regulation of interferon-gamma production	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0283347942493583	CD96, LAPTM5, HLA-DRB1, VSIR	269	48	19462	6.029120198265179	1.0	0.3569305477147857	0.3452891206200881
defense response to bacterium	GOTERM_BP_DIRECT	9	3.1358885017421603	0.0287269349012097	PLAC8, GBP5, RNF213, FCER1G, GNLY, RIPK2, TRBC2, TRBC1, LYZ	269	261	19462	2.4948083579028326	1.0	0.359086686265122	0.3473749358823211
chemotaxis	GOTERM_BP_DIRECT	6	2.0905923344947737	0.0294874889938658	CCL5, RAC2, CCL3, CXCR4, LSP1, CXCL16	269	125	19462	3.472773234200744	1.0	0.3657799207254351	0.3538498679263901
cellular response to organic cyclic compound	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0298839341565842	CCL5, CCL3, CYBA, PAK2	269	49	19462	5.906076928912829	1.0	0.3678893409427984	0.3558904885920486
translational elongation	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0304908882839262	EEF1A1, EEF1D, RPLP1	269	20	19462	10.852416356877322	1.0	0.3697589064282102	0.3576990774800901
activation of cysteine-type endopeptidase activity	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0304908882839262	PYCARD, IFI16, RIPK2	269	20	19462	10.852416356877322	1.0	0.3697589064282102	0.3576990774800901
positive chemotaxis	GOTERM_BP_DIRECT	4	1.3937282229965158	0.031476948286688	CCL5, HMGB2, CCL3, CORO1A	269	50	19462	5.787955390334573	1.0	0.3788891923397639	0.36653157560499
receptor internalization	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0331136850957222	FCER1G, ITGB2, GRB2, ARRB2	269	51	19462	5.674466068955463	1.0	0.3956598402981522	0.3827552424299663
cellular response to heat	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0347939706402569	DNAJB1, HSP90AA1, HSPA1B, HSPA1A	269	52	19462	5.56534172147555	1.0	0.4127022064993976	0.3992417653028019
regulation of innate immune response	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0364119627753532	IRF1, SAMHD1, BIRC3	269	22	19462	9.865833051706655	1.0	0.4256794209348853	0.4117957228982398
positive regulation of calcium-mediated signaling	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0364119627753532	CCL4, CCL3, CD3E	269	22	19462	9.865833051706655	1.0	0.4256794209348853	0.4117957228982398
calcium ion transport	GOTERM_BP_DIRECT	5	1.7421602787456445	0.0370467274756203	CCL5, CCL3, SARAF, CORO1A, TPT1	269	91	19462	3.975244086768251	1.0	0.4300066581991649	0.4159818256548228
positive regulation of protein phosphorylation	GOTERM_BP_DIRECT	8	2.787456445993032	0.037643634175789	MOB1A, CD74, CCND3, HSP90AA1, ARRB2, STK4, AIF1, HLA-DRB1	269	226	19462	2.5610422081126427	1.0	0.4338362094727456	0.4196864746407114
ribosomal large subunit assembly	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0395245882302861	RPL11, RPL24, RPL23A	269	23	19462	9.436883788588975	1.0	0.4523060272832042	0.4375538922395058
erythrocyte differentiation	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0400940626342769	RPS14, RPS19, HCLS1, CFLAR	269	55	19462	5.261777627576884	1.0	0.4556143481167836	0.440754310916667
regulation of cysteine-type endopeptidase activity	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0407470754772795	PSMB9, BIRC3	269	3	19462	48.23296158612144	1.0	0.4559348994862567	0.4410644073799357
myeloid dendritic cell antigen processing and presentation	GOTERM_BP_DIRECT	2	0.6968641114982579	0.0407470754772795	HLA-DRA, HLA-DRB1	269	3	19462	48.23296158612144	1.0	0.4559348994862567	0.4410644073799357
negative regulation of translation	GOTERM_BP_DIRECT	5	1.7421602787456445	0.0409639971230729	RGS2, RPS3, RPL13A, GZMB, LSM14A	269	94	19462	3.848374594637349	1.0	0.4559348994862567	0.4410644073799357
cellular defense response	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0419463861581897	TYROBP, GNLY, PRF1, LSP1	269	56	19462	5.167817312798726	1.0	0.4636930442657032	0.4485695172834987
gene expression	GOTERM_BP_DIRECT	6	2.0905923344947737	0.045698925327609	RPL27, LTB, PRDM1, CHD2, IL7R, IL2RG	269	141	19462	3.078699675709879	1.0	0.5017618490362481	0.4853966933446043
positive regulation of smooth muscle cell proliferation	GOTERM_BP_DIRECT	4	1.3937282229965158	0.0477564171771	CCL5, ID2, CYBA, AIF1	269	59	19462	4.905046940961502	1.0	0.5208334088106543	0.503846226861753
stress granule assembly	GOTERM_BP_DIRECT	3	1.0452961672473868	0.0494313062391542	PRRC2C, LSM14A, RPS23	269	26	19462	8.348012582213325	1.0	0.5355058175908378	0.5180400893863367
